City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,tiksi,71.6872,128.8694,-2.29,78,18,1.84,RU,1684981760
131,klyuchi,52.2667,79.1667,15.42,35,50,3.58,RU,1684981758
132,isafjordur,66.0755,-23.124,3.62,72,76,14.08,IS,1684981753
133,port saint john's,-31.6229,29.5448,18.57,51,99,3.75,ZA,1684981916
134,howrah,22.5892,88.3103,29.0,84,40,2.06,IN,1684981916
135,kristiansund,63.1115,7.732,7.36,76,75,9.26,NO,1684981917
136,sidney,-33.8679,151.2073,22.4,43,0,4.12,AU,1684981803
137,taroudant,30.4703,-8.877,16.41,78,68,0.72,MA,1684981917
138,parapat,2.663,98.9349,26.36,64,96,0.41,ID,1684981917
139,tocantins,-10.5,-48.0,23.16,53,69,1.7,BR,1684981864
140,copala,16.65,-98.9833,27.98,72,87,1.73,MX,1684981917
141,al hamul,31.3115,31.1477,17.43,89,0,1.59,EG,1684981917
142,kununurra,-15.7667,128.7333,26.99,24,9,3.6,AU,1684981917
143,ribeira grande,38.5167,-28.7,16.54,78,23,3.13,PT,1684981742
144,gejiu,23.306,103.1635,22.15,53,5,3.6,CN,1684981917
145,kupang,-10.1667,123.5833,31.32,66,40,8.23,ID,1684981807
146,inhambane,-23.865,35.3833,20.93,77,5,3.65,MZ,1684981917
147,ngorongoro,-3.2397,35.4875,9.16,97,62,2.49,TZ,1684981917
148,kismayo,-0.3582,42.5454,26.04,77,15,4.48,SO,1684981918
149,kapuskasing,49.4169,-82.4331,8.0,46,20,2.06,CA,1684981870
150,san rafael,-34.6177,-68.3301,16.05,61,96,2.87,AR,1684981657
151,timbuktu,16.7735,-3.0074,30.1,17,63,9.42,ML,1684981918
152,garbahaarrey,3.3289,42.2209,23.53,86,51,5.22,SO,1684981918
153,alice springs,-23.7,133.8833,23.75,19,0,0.0,AU,1684981865
154,fale old settlement,-9.3852,-171.2468,27.77,74,36,1.04,TK,1684981743
155,coxen hole,16.3244,-86.5366,28.6,70,20,3.09,HN,1684981918
156,xinyuan,37.3,99.0,9.33,34,100,1.22,CN,1684981918
157,strezhevoy,60.7333,77.5889,10.03,46,35,3.13,RU,1684981749
158,chibougamau,49.9168,-74.3659,3.79,60,0,1.54,CA,1684981918
159,tegueste,28.5167,-16.3167,14.44,85,0,3.58,ES,1684981918
160,nagqu,31.5,92.0,9.64,31,65,4.96,CN,1684981919
161,navlya,52.8281,34.4989,12.08,90,74,1.7,RU,1684981919
162,banchory,57.0517,-2.4882,6.05,99,31,0.94,GB,1684981919
163,kapoeta,4.7717,33.5903,25.82,57,82,7.79,SS,1684981919
164,mejit,10.2753,170.8646,27.6,78,100,7.12,MH,1684981919
165,sao gabriel da cachoeira,-0.1303,-67.0892,23.07,98,100,0.47,BR,1684981919
166,taltal,-25.4,-70.4833,17.01,79,0,2.13,CL,1684981820
167,hadibu,12.65,54.0333,29.18,70,63,2.87,YE,1684981919
168,jayapura,-2.5333,140.7,30.66,81,95,1.77,ID,1684981919
169,selfoss,63.9331,-20.9971,5.47,75,100,7.77,IS,1684981920
170,tolanaro,-25.0319,46.9987,17.04,94,40,2.06,MG,1684981920
171,kaitong,44.8135,123.15,25.99,27,22,13.29,CN,1684981920
172,pionerskiy,54.9508,20.2275,12.64,85,40,2.69,RU,1684981920
173,severnoye,56.3491,78.3619,14.75,37,53,2.3,RU,1684981925
174,ilulissat,69.2167,-51.1,0.01,55,20,4.12,GL,1684981925
175,wagini,12.6878,7.1958,28.08,59,94,3.86,NG,1684981925
176,inirida,3.8653,-67.9239,23.94,95,100,0.56,CO,1684981926
177,pyhajarvi,67.0701,27.2176,8.42,82,100,4.94,FI,1684981926
178,olonkinbyen,70.9221,-8.7187,-2.09,89,100,17.63,SJ,1684981760
179,hammerfest,70.6634,23.6821,8.25,57,0,3.6,NO,1684981926
